ID OMM station;Date;Pression au niveau mer;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Humidité;Pression station;Variation de pression en 24 heures;Précipitations dans les 24 dernières heures;Coordonnees;Température (°C);Température minimale sur 24 heures (°C);Température maximale sur 24 heures (°C);Altitude;communes (code)
07558;2010-01-05T10:00:00+01:00;100280;260;1.5;100;91870.0;;;44.1185,3.0195;2.6000000000000227;;;712;12145
61976;2010-01-05T10:00:00+01:00;100990;;;69;;;;-15.887667,54.520667;32.30000000000001;;;7;
07027;2010-01-05T13:00:00+01:00;100720;200;3.6;87;99880.0;;;49.18,-0.456167;0.5;;;67;14137
07110;2010-01-05T13:00:00+01:00;100750;210;4.1;73;99580.0;;;48.444167,-4.412;3.8000000000000114;;;94;29075
07591;2010-01-05T13:00:00+01:00;;;;67;89870.0;;;44.565667,6.502333;1.3000000000000114;;;871;05046
71805;2010-01-05T13:00:00+01:00;99010;210;9.8;99;98920.0;;;46.766333,-56.179167;1.900000000000034;;;21;
78925;2010-01-05T13:00:00+01:00;101630;30;0.5;83;;100.0;1.2;14.595333,-60.995667;25.900000000000034;;30.400000000000034;3;97213
07015;2010-01-05T16:00:00+01:00;100480;190;1.5;78;99900.0;;;50.57,3.0975;1.7000000000000455;;;47;59256
07149;2010-01-05T16:00:00+01:00;100530;10;2.6;69;99410.0;;;48.716833,2.384333;-0.5;;;89;91027
81408;2010-01-05T16:00:00+01:00;101220;80;4.1;69;101140.0;;;3.890667,-51.804667;30.100000000000023;;;6;97308
89642;2010-01-05T16:00:00+01:00;100020;120;4.1;67;99480.0;;;-66.663167,140.001;-1.8999999999999773;;;43;
07020;2010-01-05T19:00:00+01:00;100020;200;11.8;85;99950.0;;;49.725167,-1.939833;4.100000000000023;;;6;50041
07761;2010-01-05T19:00:00+01:00;99490;60;1.5;94;99380.0;;;41.918,8.792667;11.900000000000034;;;5;2a004
81405;2010-01-05T19:00:00+01:00;101040;100;6.2;73;100950.0;;;4.822333,-52.365333;29.30000000000001;;;4;97307
07168;2010-01-05T22:00:00+01:00;100370;320;2.1;85;98940.0;;;48.324667,4.02;-7.399999999999977;;;112;10030
07607;2010-01-05T22:00:00+01:00;100640;0;0.0;92;99900.0;;;43.909833,-0.500167;-0.6999999999999886;;;59;40192
07650;2010-01-05T22:00:00+01:00;100010;350;2.1;91;99620.0;;;43.437667,5.216;3.5;;;9;13054
71805;2010-01-05T22:00:00+01:00;99230;230;7.2;100;99140.0;;;46.766333,-56.179167;2.0;;;21;
07149;2010-01-06T01:00:00+01:00;100360;230;1.0;94;99220.0;;;48.716833,2.384333;-4.399999999999977;;;89;91027
61972;2010-01-06T01:00:00+01:00;100960;150;5.1;;;;;-22.344167,40.340667;26.600000000000023;;;6;
07280;2010-01-06T04:00:00+01:00;100320;180;2.1;91;97500.0;;;47.267833,5.088333;-2.6999999999999886;;;219;21473
07434;2010-01-06T04:00:00+01:00;100580;220;3.6;96;95560.0;;;45.861167,1.175;-6.199999999999989;;;402;87085
61976;2010-01-06T04:00:00+01:00;100830;;;77;;;;-15.887667,54.520667;29.0;;;7;
07020;2010-01-06T07:00:00+01:00;99630;10;6.7;95;99560.0;;16.0;49.725167,-1.939833;1.5;;;6;50041
07117;2010-01-06T07:00:00+01:00;99800;310;6.2;67;99090.0;;;48.825833,-3.473167;3.900000000000034;;;55;22168
07168;2010-01-06T07:00:00+01:00;100350;0;0.0;89;98900.0;;0.0;48.324667,4.02;-10.599999999999966;;;112;10030
07690;2010-01-06T07:00:00+01:00;99740;330;4.6;74;99400.0;;1.8;43.648833,7.209;3.5;;;2;06088
61970;2010-01-06T07:00:00+01:00;100860;170;2.1;68;;;0.0;-17.054667,42.712;31.0;;;9;
71805;2010-01-06T07:00:00+01:00;99410;210;7.2;100;99320.0;;0.8;46.766333,-56.179167;1.8000000000000114;1.5;2.2000000000000455;21;
